sub,stage,early_mean,late_mean,coupling_r,coupling_slope,n_epochs,front_ch,post_ch,cross_channel
n8,W,0.07713486414958298,1.2356048135312145,0.17920732153551247,0.19174691154580464,3993,F4-C4,C4-P4,True
n8,N1,0.409523675705486,1.2375386304424207,0.2830728944584408,0.28399988047813385,1381,F4-C4,C4-P4,True
n8,N2,0.3005814616425342,0.9183019744049474,0.35495478135467917,0.3501788733239727,13188,F4-C4,C4-P4,True
n8,N3,0.20739874486478535,1.036454939238566,0.39478124803673786,0.38714859729850004,7660,F4-C4,C4-P4,True
n8,R,0.06910527548893203,0.9556221643207693,0.2565495535333052,0.37261621537769274,6438,F4-C4,C4-P4,True
n9,W,1.0012491980381353,-0.05576779770710055,0.23254728393649401,0.27111797937903837,3492,C3-A2,O2-A1,True
n9,N1,1.7013828354268192,-0.24598642649568092,0.25706927528552237,0.23989254995595075,826,C3-A2,O2-A1,True
n9,N2,1.3194644106226494,-0.9105346721637896,0.1807488244682959,0.13554484188503402,11922,C3-A2,O2-A1,True
n9,N3,-0.3400861846059921,-1.6756740978515778,0.16988871958851276,0.14010658314988372,4584,C3-A2,O2-A1,True
n9,R,1.8464223615764874,0.3090974886537248,0.16198774981184919,0.16554044397996312,6065,C3-A2,O2-A1,True
n10,W,-0.3385274531983215,-0.5760461427827007,0.07750354035599466,0.03942150503078365,2400,FP1-F3,C3-P3,True
n10,N1,-0.9356364398381203,0.06086567437670377,0.1304258465425435,0.05467893191863188,74,FP1-F3,C3-P3,True
n10,N2,0.3179556613135958,1.3923760217978247,-0.03829499163751202,-0.029901933616360014,9266,FP1-F3,C3-P3,True
n10,N3,0.11006180695444757,1.3763250162138105,0.001610707352029082,0.0012428712480713688,11193,FP1-F3,C3-P3,True
n10,R,0.365449336192615,0.34835677834923773,-0.020875135509377224,-0.014890903897542706,8130,FP1-F3,C3-P3,True
n11,W,-0.4243368729983819,1.21157826320554,0.30164654738832003,0.19243162876154513,1487,FP1-F3,C3-P3,True
n11,N1,0.37652024306789844,0.4906133825480061,0.28931569174209426,0.23999182658925833,193,FP1-F3,C3-P3,True
n11,N2,0.4547378017366763,0.5387687124293198,-0.08062364641249742,-0.0685163426498337,7990,FP1-F3,C3-P3,True
n11,N3,1.1260817037375737,-0.051081354902067916,0.2512630459760733,0.2333903143365333,11311,FP1-F3,C3-P3,True
n11,R,0.3710347366389017,1.0043657353067796,-0.15405224824836425,-0.13189625211068637,11529,FP1-F3,C3-P3,True
n12,W,2.498862925692194,0.2965887770765816,0.30966410265197625,0.29935989233878785,286,C3-A2,O1-A2,True
n12,N1,0.34330712159580573,-0.1664934026389445,0.5562142785665313,0.6570291328154573,183,C3-A2,O1-A2,True
n12,N2,0.6770799164567892,0.8194834701937171,0.5317167204507579,0.45365389241851367,13161,C3-A2,O1-A2,True
n12,N3,0.26438847876551896,0.4357687577732797,0.5949824773129647,0.6062354645874232,7001,C3-A2,O1-A2,True
n12,R,0.7656585500527332,0.26676422090859275,0.4691029988164305,0.3760917008201828,9659,C3-A2,O1-A2,True
n13,W,,,,,0,F3A2,O1A2,True
n13,N1,,,,,0,F3A2,O1A2,True
n13,N2,,,,,0,F3A2,O1A2,True
n13,N3,,,,,0,F3A2,O1A2,True
n13,R,,,,,0,F3A2,O1A2,True
n14,W,,,,,0,F3A2,O1A2,True
n14,N1,,,,,2,F3A2,O1A2,True
n14,N2,,,,,0,F3A2,O1A2,True
n14,N3,,,,,0,F3A2,O1A2,True
n14,R,,,,,0,F3A2,O1A2,True
n15,W,,,,,6,F3A2,O1A2,True
n15,N1,,,,,0,F3A2,O1A2,True
n15,N2,,,,,0,F3A2,O1A2,True
n15,N3,,,,,0,F3A2,O1A2,True
n15,R,,,,,0,F3A2,O1A2,True
